epoch,loss,accuracy,precision,recall,dice,iou,val_loss,val_accuracy,val_precision,val_recall,val_dice,val_iou
1,0.7714884592728182,0.7610382769595493,0.3457822518592531,0.6808954902331937,0.4497676755894314,0.29686547515236517,0.8711912914326316,0.8439290241191262,0.0,0.0,0.0,0.0
2,0.7094207168980078,0.8025321594693444,0.4180860568515279,0.7681753479621627,0.531520798463713,0.36707095395434985,0.9049226202462849,0.8439290241191262,0.0,0.0,0.0,0.0
3,0.6774413937872107,0.8312677449800752,0.4664594646204602,0.787952908738093,0.5731400010937994,0.407359405844049,0.9187000833059612,0.8439228597440218,0.0,0.0,0.0,0.0
4,0.6519460705193606,0.8507674004543911,0.5045788206837394,0.7937253828753125,0.6032398207621141,0.4393228082494302,0.8554472139007167,0.8490746334979409,0.5702454745769501,0.12652230272559742,0.20119000245866023,0.11676218076363991
5,0.6249505687843669,0.8657331317663193,0.5391938422213901,0.8052354969761588,0.636171506209807,0.4715256084772674,0.7277134154972277,0.8383481377049496,0.48117592617085103,0.5224338644429257,0.4913835368658367,0.33324158583816726
6,0.6020232032645833,0.8790518472140486,0.5726991817355156,0.818170657212084,0.6585560803386298,0.4974644221365452,0.6823006052719919,0.8181521641580682,0.44906016399985865,0.6865666022426203,0.5342773450048346,0.369735355439939
7,0.5750078741799701,0.8904599283229221,0.6052431873977184,0.8160190582275391,0.6807862655682997,0.5254346228797327,0.6547029990898935,0.8037101940104836,0.43439725355098124,0.8176682214987906,0.5615496635437012,0.3941676616668701
8,0.5471653545444662,0.9045735970139503,0.6514020403000441,0.8252255395054817,0.7166373905810443,0.5617073242637244,0.6195763882837797,0.8279426568432858,0.4746190968312715,0.845115485944246,0.6006064195381967,0.433291074476744
9,0.5177841816436161,0.9137452908537604,0.6745017448609526,0.8409598849036477,0.7353831509297545,0.5876932841810313,0.6120203702073348,0.8449849956913998,0.5048009957137861,0.7971472238239489,0.6092804089972848,0.44231153632465164
10,0.4798976108431816,0.9251929819583893,0.7203797061334957,0.8495768599889495,0.7682147506963123,0.6290723620490595,0.5622782299393102,0.8921189935583818,0.6398316982545351,0.7340763164194006,0.6736467104209097,0.5125394008661571
